H,S,V,class
98,4,242,branco
72,5,242,branco
60,1,241,branco
110,3,243,branco
120,3,243,branco
150,3,242,branco
135,2,242,branco
120,3,243,branco
100,3,242,branco
90,2,241,branco
90,2,241,branco
90,2,241,branco
160,3,242,branco
126,5,244,branco
102,5,244,branco
90,4,241,branco
60,1,241,branco
0,1,241,branco
120,2,242,branco
120,4,244,branco
132,5,244,branco
120,3,243,branco
90,2,241,branco
90,2,241,branco
90,2,241,branco
30,1,240,branco
143,4,243,branco
108,5,244,branco
90,5,242,branco
75,4,242,branco
15,2,241,branco
150,1,241,branco
120,3,243,branco
120,4,244,branco
132,5,244,branco
100,3,242,branco
90,2,241,branco
120,2,242,branco
150,3,242,branco
120,4,244,branco
100,6,244,branco
90,4,241,branco
60,1,241,branco
0,1,241,branco
120,2,242,branco
120,4,244,branco
132,5,244,branco
120,3,243,branco
90,2,241,branco
105,2,242,branco
105,2,242,branco
165,2,241,branco
135,4,243,branco
108,5,244,branco
95,6,242,branco
90,2,241,branco
15,2,241,branco
150,1,241,branco
120,3,243,branco
132,5,244,branco
130,3,243,branco
100,3,242,branco
90,2,241,branco
120,2,242,branco
50,3,239,branco
143,4,243,branco
114,5,244,branco
100,6,243,branco
83,4,242,branco
45,2,241,branco
0,1,241,branco
120,2,242,branco
120,4,244,branco
132,5,244,branco
120,3,243,branco
90,2,241,branco
120,2,242,branco
105,2,241,branco
150,3,241,branco
128,4,243,branco
105,6,244,branco
84,5,241,branco
75,2,241,branco
0,1,241,branco
135,2,242,branco
120,4,244,branco
132,5,244,branco
130,3,243,branco
100,3,242,branco
90,2,241,branco
120,2,241,branco
120,1,240,branco
140,6,244,branco
105,4,243,branco
78,5,242,branco
68,4,242,branco
150,1,241,branco
135,4,243,branco
120,4,244,branco
120,3,243,branco
150,1,241,branco
90,1,241,branco
100,3,242,branco
120,3,243,branco
105,2,241,branco
144,5,243,branco
120,3,243,branco
90,4,242,branco
66,5,242,branco
60,1,241,branco
140,3,242,branco
120,4,244,branco
120,3,243,branco
135,2,242,branco
150,1,241,branco
90,2,241,branco
110,3,242,branco
120,3,242,branco
140,3,241,branco
132,5,244,branco
105,4,243,branco
78,5,242,branco
60,3,242,branco
135,2,242,branco
135,4,243,branco
120,4,244,branco
120,3,243,branco
150,1,241,branco
90,2,241,branco
100,3,242,branco
120,3,243,branco
140,6,244,branco
113,4,243,branco
84,5,242,branco
66,5,242,branco
60,1,241,branco
143,4,243,branco
120,4,244,branco
120,4,244,branco
150,1,241,branco
0,0,240,branco
100,3,242,branco
